strategy,window,trainStart,trainEnd,testStart,testEnd,pickedParams,isSharpe,isTrades,isPnl,oosSharpe,oosPnl,oosWinRate,oosTrades,oosSignalEdgePct
macd_bollinger,15,2700,3420,3420,3600,"bb=15,vol×=1.2",0.6104,6,109.34,0.0000,0.00,0.00,0,0.00
macd_bollinger,16,2880,3600,3600,3780,"bb=15,vol×=1.2",0.9881,5,169.49,-4.0650,-387.66,0.00,3,33.33
macd_bollinger,17,3060,3780,3780,3960,"bb=20,vol×=1.2",0.5566,3,33.07,3.2543,260.70,25.00,4,83.33
macd_bollinger,18,3240,3960,3960,4140,"bb=20,vol×=1.2",1.4190,4,255.67,0.6025,0.00,0.00,0,0.00
macd_bollinger,19,3420,4140,4140,4320,"bb=20,vol×=2",1.9011,5,553.73,-3.4893,-136.39,0.00,1,100.00
macd_bollinger,20,3600,4320,4320,4500,"bb=20,vol×=2",0.9576,7,290.07,0.0000,0.00,0.00,0,0.00
macd_bollinger,21,3780,4500,4500,4680,"bb=20,vol×=2",1.3943,6,417.34,5.5372,277.42,50.00,2,100.00
macd_bollinger,22,3960,4680,4680,4860,"bb=20,vol×=2",1.1095,3,141.03,-3.4893,-19.95,0.00,1,100.00
macd_bollinger,23,4140,4860,4860,5040,"bb=20,vol×=1.2",1.7695,5,365.81,-6.5100,-171.14,0.00,2,50.00
macd_bollinger,24,4320,5040,5040,5220,"bb=25,vol×=1.2",1.2301,4,214.56,-1.7590,0.00,0.00,0,0.00
macd_bollinger,25,4500,5220,5220,5400,"bb=25,vol×=1.5",0.7355,5,86.68,-3.0976,-129.64,0.00,1,0.00
macd_bollinger,26,4680,5400,5400,5580,"bb=15,vol×=1.5",-2.9993,4,-323.97,-4.8362,-225.96,0.00,2,50.00
macd_bollinger,27,4860,5580,5580,5760,"bb=25,vol×=1.2",-1.9975,6,-654.67,-1.1909,-220.77,0.00,3,50.00
macd_bollinger,28,5040,5760,5760,5940,"bb=15,vol×=2",-1.0107,7,-387.52,-3.4893,-15.12,0.00,1,100.00
macd_bollinger,29,5220,5940,5940,6120,"bb=15,vol×=2",-1.4516,8,-397.27,2.2649,134.91,50.00,2,33.33
macd_bollinger,30,5400,6120,6120,6300,"bb=15,vol×=1.2",0.4382,10,118.29,-1.3058,-134.18,0.00,1,100.00
macd_bollinger,31,5580,6300,6300,6480,"bb=15,vol×=1.2",0.6563,9,210.07,-1.7545,-128.55,0.00,1,25.00
macd_bollinger,32,5760,6480,6480,6660,"bb=25,vol×=1.2",0.9912,5,234.13,0.5910,0.00,0.00,0,0.00
